name,lat,lng,goal,photo
Amsterdam City Swim,52.36625935,4.901518911,Relaxing,https://internationallocals.nl/wp/wp-content/uploads/2019/09/Screenshot-2019-09-04-at-14.26.29.png
Zwemschool SwimBee locatie Amsterdam Noord,52.40091332,4.957473278,Relaxing,https://72vtf694lf-flywheel.netdna-ssl.com/wp-content/uploads/avia_instagram_cache/2-instagram/original_67090068_101092214510788_2682584152356061679_n.jpg
Flevoparkbad,52.36458109,4.952130318,Relaxing,https://www.amsterdam.nl/publish/pages/949102/flevoparkbad_margotboerema_031.jpg
Zwemparadijs Hensbroekerstraat,52.392461,4.943862,Relaxing,https://media.insiders.nl/uba/files/image/428d2465345d4430e3fb36828c1e68186f917c26.jpg
Coffeeshop Happiness,52.36981246,4.849373162,Shopping,https://www.coffeeshopdirect.com/ShopPics/Happiness.jpg
Barney's Coffeeshop Amsterdam,52.38057422,4.890859782,Shopping,https://i.pinimg.com/564x/a7/85/6e/a7856e9e481b51db37e23d5e5151522c.jpg
Waterlooplein,52.36830592,4.901959374,Shopping,https://drifterplanet.com/wp-content/uploads/2019/06/Waterloo-Square-Flea-Market-in-Amsterdam.jpg
Winkelcentrum Banne Centrum,52.4075506,4.91687333,Shopping,https://www.nul20.nl/sites/default/files/images/nieuws/Banne%20Centrum%2010-04-2013.png
Gassan Diamonds,52.36962454,4.903713205,Shopping,http://www.plantageamsterdam.nl/asset/content/images/gassanshop_1.jpg
Dappermarkt,52.36266477,4.927486181,Shopping,http://www.dappermarkt.nl/wp-content/uploads/2016/06/dappermarkt-aerial-495x400.jpg
AFC IJburg,52.356817,4.979538175,Sport & Extreme,https://www.hetamsterdamschevoetbal.nl/wp-content/uploads/2016/02/AFC-IJburg-1.jpg
Stormbaan,52.35019528,5.005837027,Sport & Extreme,https://www.axitraxi.nl/wp-content/uploads/2016/03/Stormbanen_Stormbaan_Huren_Hindernisparcours_Mieten.jpg
Sporthallen Zuid,52.33997373,4.854133129,Sport & Extreme,https://supplier.meetingselect.com/upload/ImageBig/20110623_101231_479_229.jpg
Frans Otten Stadion,52.33919368,4.851429462,Sport & Extreme,https://fransottenstadion.nl/tmp/media/afbeeldingen/img-8619_w585_h390_bg.jpg
CTO Olympisch Stadion #14,52.34451217,4.852954,Sport & Extreme,https://www.topsport.amsterdam/files/a1448070906a4ee879d9945076a102cb.png
Amstelpark tennis,52.33095788,4.852397197,Sport & Extreme,https://www.amstelpark.nl/cache/images/amtelpark_web_nieuw_small_overamstelpark_384x255_adaptiveResize.png
Schietsportvereniging,52.383502,4.86374,Sport & Extreme,https://www.svmartini.nl/images/img0091.jpg
Etnies OTF,52.397517,4.872342,Sport & Extreme,https://fatbmx.com/uploads4/2013Q3/wk39/otf2.jpg
Van Hogendorphal,52.38135406,4.86771028,Sport & Extreme,https://www.amsterdam.nl/publish/pages/857146/van_hogendorphal_korfbalactie_450x250_1.jpg
Ski inn,52.36451558,4.870591164,Sport & Extreme,https://fastly.4sqi.net/img/general/width960/42203_CGX0nfbO3JOo19p2PKsPK3iuhhXvnibO6X7kyys4tsw.jpg
V.V. OSV,52.42215772,4.881281652,Sport & Extreme,https://fastly.4sqi.net/img/general/width960/9992105_mwA-3VVTYLnd5dG39T8yyocV0JY2ym632vkZTWG45mk.jpg
Ghetto Skatepark,52.393055,4.877668,Sport & Extreme,https://www.skateboard.com.au/images/damghetto2.jpg
Zuiderbad,52.3585665,4.88601923,Relaxing,https://www.petitfute.com/medias/professionnel/146636/premium/900_600/d41cde7110d943fe27ed377ed82a5182_zuiderbad_zuiderbad.jpg
Apollohal,52.34862899,4.884320473,Sport & Extreme,https://upload.wikimedia.org/wikipedia/commons/8/80/Apollohal.jpg
Amsterdam Pirates,52.33868404,4.873033012,Sport & Extreme,https://alchetron.com/cdn/amsterdam-pirates-1c9ee629-1cb6-4f75-bce9-ca4060113c1-resize-750.jpeg
Kermis,52.4021,4.893095,Sport & Extreme,https://media-cdn.tripadvisor.com/media/photo-s/0e/ee/d8/7d/kermis.jpg
Honkbalvereniging 'De Meteoor',52.41225966,4.894815327,Sport & Extreme,https://vrijetijdamsterdam.nl/wp-content/uploads/2020/03/wedstrijd-North-Stars-veld-002-min-768x432.jpg
Skatepark,52.40143,4.895369,Sport & Extreme,http://www.concretematters.nl/wp-content/uploads/2016/06/VO-USZ-01-1024x614.jpg
