nameOfPlace,lat,lng,avg_rate_of_place,avg_hours_of_place,avg_ages_of_place,count_of_post_added_to_place
Velodrome Sloten,52.34021627,4.8072052,0,0,0,0
Sv Nieuw-Sloten,52.33598332,4.804913413,0,0,0,0
Quick 1913,52.33676109,4.80502585,0,0,0,0
Wielerbaan Sloten,52.33993016,4.807869754,0,0,0,0
Amsterdam Crusaders,52.33971809,4.802269936,0,0,0,0
Peilscheidingskade,52.34340389,4.805401846,0,0,0,0
DSG - Handbalvereniging - Sportpark Sloten,52.33754174,4.803600311,0,0,0,0
Golfbaan Sloten,52.33932853,4.806550741,0,0,0,0
Turnace Hall of Gymnastics,52.3400549,4.8090918,0,0,0,0
WVA amsterdam,52.33746109,4.80440916,0,0,0,0
Robic Wielerlab,52.339841,4.808852,0,0,0,0
De Bretten,52.38636989,4.816201878,0,0,0,0
The Sands,52.38870723,4.81752035,0,0,0,0
Kastanjelaan,52.3871959,4.81691058,0,0,0,0
Gentlemens Club de Natte Kikker,52.38165953,4.80635,0,0,0,0
Molen De 1200 Roe,52.38424402,4.815112352,0,0,0,0
Home Sweeter Home,52.37783752,4.809345101,0,0,0,0
Donovan 20th B-Day Bash,52.375682,4.804273,0,0,0,0
Sloterparkbad,52.37046543,4.817394561,0,0,0,0
Zwemschool De Natte Kikker,52.3705291,4.817170228,0,0,0,0
Zwemschool De Druppel,52.370721,4.817949,0,0,0,0
Heemtuin Sloterpark,52.37092637,4.81287301,0,0,0,0
zwemschool de oceaan,52.37033177,4.817495308,0,0,0,0
Mystic Garden,52.366088,4.811583442,0,0,0,0
Strand Sloterplas,52.36898997,4.81790185,0,0,0,0
Disc Golf Sloterpark,52.36878846,4.816413477,0,0,0,0
Sloterpark,52.36012314,4.819314535,0,0,0,0
Watersportcentrum Sloterplas,52.36000798,4.815702438,0,0,0,0
WV Sloterplas,52.35880893,4.81439352,0,0,0,0
Coffeeshop Sensemillia,52.35307425,4.813397831,0,0,0,0
Haven Sloterplas Osdorp,52.35695534,4.81415783,0,0,0,0
The Bootcamp Club,52.359773,4.815889,0,0,0,0
Natuurcentrum Wiedijk,52.3550616,4.816587588,0,0,0,0
dogsquare amsterdam sloterpark,52.36446908,4.812450631,0,0,0,0
Sloten Terug In De Kas,52.35230018,4.815417492,0,0,0,0
Evim;),52.34806763,4.815723514,0,0,0,0
Çapulcu Palace,52.34801814,4.815404213,0,0,0,0
Kika kermis,52.34099,4.807215,0,0,0,0
Amsterdam Holland,52.33709957,4.811034272,0,0,0,0
Vlindermolen,52.34157969,4.811496735,0,0,0,0
Amsterdam dungeon shop,52.33827079,4.816409151,0,0,0,0
Aquarius Strand,52.33469976,4.814540682,0,0,0,0
Oeverlanden Strandje,52.3342974,4.813768453,0,0,0,0
PricewaterhouseCoopers - Westgate II,52.33833598,4.817028095,0,0,0,0
E.W. Driessen,52.32917625,4.81467247,0,0,0,0
Noordzeekanaal,52.41938062,4.826773604,0,0,0,0
Boot 10,52.42090607,4.822570324,0,0,0,0
New Circle,52.416378,4.826716,0,0,0,0
Meat Lovers Delight,52.40888325,4.82843845,0,0,0,0
Nustar Steiger 4,52.404951,4.822998,0,0,0,0
Westpoort,52.39167751,4.821439522,0,0,0,0
Hollanda fenerbahceliler dernegi,52.39169085,4.825782842,0,0,0,0
The Sand,52.39044,4.825087,0,0,0,0
Aaf,52.38462522,4.818588418,0,0,0,0
AFC DWS,52.386498,4.821957,0,0,0,0
The Sand (Club) Indoor Beachsports & Events complex in Amsterdam,52.390412,4.825063,0,0,0,0
Amsterdam,52.3805913,4.820667535,0,0,0,0
cleansefortex,52.391,4.8195,0,0,0,0
Basebal,52.38448689,4.818914688,0,0,0,0
Roodbaards Verzamelhok,52.38629095,4.818602589,0,0,0,0
One-way Exit,52.388574,4.8230555,0,0,0,0
The Stand,52.39067847,4.824242449,0,0,0,0
BRAMSKI.COM,52.38416395,4.8201023,0,0,0,0
Rokersruimte TheSand,52.390369,4.825056,0,0,0,0
Op Visite Bij Damientje,52.382711,4.818512,0,0,0,0
Mies Magic Mansion,52.38153,4.818382,0,0,0,0
De Buurtslager,52.3816824,4.8215988,0,0,0,0
Carillonconcerten,52.3810857,4.8235043,0,0,0,0
Plein '40-'45,52.38031474,4.822394619,0,0,0,0
Bar Content,52.3753661,4.820225829,0,0,0,0
Parkje,52.37901937,4.81711204,0,0,0,0
Bar Blue Square Hotel,52.3786755,4.82056655,0,0,0,0
Mabi's Balcony,52.38045752,4.82527256,0,0,0,0
Rondje Sloterplas 6 km,52.37047018,4.820290246,0,0,0,0
Sloterplas,52.37135472,4.824886322,0,0,0,0
Scouting Sloterplas,52.37238332,4.821278289,0,0,0,0
Zeilschool De Duikelaar,52.37263858,4.822654724,0,0,0,0
The Color Run,52.36932938,4.816719893,0,0,0,0
"Studio V14 (Yolanda, Emmelie, Simone, Yinske)",52.36047815,4.82345516,0,0,0,0
Karl's Chill Out Spot for warm days,52.367389,4.825332,0,0,0,0
Sloterpark heuvel,52.36455069,4.81321061,0,0,0,0
Plesmanlaan,52.35142158,4.819277575,0,0,0,0
Amore,52.36307483,4.826774322,0,0,0,0
De Oase,52.342606,4.820354,0,0,0,0
Manege De Ruif,52.341614,4.821963,0,0,0,0
Dogrun nieuw-sloten,52.34237937,4.814071655,0,0,0,0
De Oeverlanden,52.33890355,4.829621176,0,0,0,0
Siegerpark,52.34263857,4.820287061,0,0,0,0
Halfpipe Nieuw Sloten,52.34119797,4.811536789,0,0,0,0
Nieuwemeer,52.32972606,4.816652774,0,0,0,0
Juul uitlaten bij de Nieuwe Meer,52.33567534,4.825155566,0,0,0,0
Tuinpark Eigen Hof,52.3405578,4.799355514,0,0,0,0
Karel Reiniershaven,52.41458995,4.831630869,0,0,0,0
H7,52.390674,4.830725,0,0,0,0
Rhone Warehouse,52.39066922,4.831106432,0,0,0,0
AMHC Westerpark,52.38643959,4.827846227,0,0,0,0
Partycentrum Rhone,52.39045205,4.831144293,0,0,0,0
Warner Bros,52.3878906,4.8306471,0,0,0,0
Warner Bros. screening room,52.38774732,4.830261469,0,0,0,0
De Bretten - Voetbal Velden,52.38635302,4.832900763,0,0,0,0
George Garage,52.39052669,4.827833392,0,0,0,0
amsterdam panthers,52.38584217,4.827632854,0,0,0,0
Xtradio,52.38972092,4.829888344,0,0,0,0
A93,52.39031408,4.830869293,0,0,0,0
Spieringhorn Amsterdam,52.3860246,4.830365835,0,0,0,0
Thai Event,52.39023972,4.831371784,0,0,0,0
Salsa Congress,52.390578,4.831385,0,0,0,0
GLOW Party,52.38063431,4.825137615,0,0,0,0
GOLEB,52.3801974,4.827161212,0,0,0,0
Shisha palace,52.3802,4.83203,0,0,0,0
Gerbrandypark,52.37705063,4.834102423,0,0,0,0
Arcade Casino,52.38058,4.8348,0,0,0,0
Buurtcamping Slotermeer,52.38230919,4.836094684,0,0,0,0
Gebrandypark,52.37828954,4.834636094,0,0,0,0
Slotervaart Tennis Vereniging,52.37179701,4.833621,0,0,0,0
Sloterplas Festival Oostoever,52.370608,4.829606,0,0,0,0
Cafe Sloterplas,52.3734,4.82685,0,0,0,0
Floor 6 Crew,52.37229952,4.835537881,0,0,0,0
Ontdekhoek,52.37338045,4.831943986,0,0,0,0
Club 133,52.36420799,4.830861151,0,0,0,0
Het Siertje,52.355795,4.826581478,0,0,0,0
Vier Bankjes Aan De Sloterplas Zuidwest,52.356478,4.827623,0,0,0,0
Leox,52.35779594,4.834006856,0,0,0,0
Cafe de Rooseboom,52.35348226,4.832635462,0,0,0,0
Stadswild HQ,52.342849,4.828754,0,0,0,0
RTVNH,52.346234,4.83077702,0,0,0,0
Staalmanpark,52.34700339,4.830290269,0,0,0,0
Big Black Hot Box 40 Gr Celsius,52.35341416,4.833773633,0,0,0,0
Nieuwe Meer,52.3311432,4.829692841,0,0,0,0
Amsterdam Windsurfing,52.33377744,4.830739707,0,0,0,0
Jan van Riebeeck Haven,52.41757129,4.837368949,0,0,0,0
Freshmen Media Cocktailcorner,52.39413902,4.837004544,0,0,0,0
Westrandweg Run,52.39527167,4.834798072,0,0,0,0
Wildkamperen,52.39697424,4.838921233,0,0,0,0
lazy sundays,52.3940562,4.83737266,0,0,0,0
Filmset Hart Tegen Hard,52.39197922,4.833932877,0,0,0,0
Srs,52.39064,4.827879,0,0,0,0
Krant Cafe TMG,52.39205155,4.833472973,0,0,0,0
In Het Fietsenhok,52.3960691,4.84015066,0,0,0,0
De Trap Af RE,52.393191,4.837566,0,0,0,0
Cheap 'n Chic,52.390501,4.83119,0,0,0,0
MTTM Bar,52.39010933,4.83035,0,0,0,0
Ballorig bijlmer arena,52.3897625,4.8307879,0,0,0,0
Into The Moesson,52.39196688,4.837609986,0,0,0,0
Energetica,52.39093662,4.83769549,0,0,0,0
Bed @ MEININGER Hotel Amsterdam,52.390679,4.838066,0,0,0,0
De Amsterdamsche Tram,52.38851768,4.839747183,0,0,0,0
Karaoke 3,52.38523938,4.839820862,0,0,0,0
Voetbalveldje Sloterdijk,52.38829747,4.840457355,0,0,0,0
Mountain Network Amsterdam,52.37512759,4.84205246,0,0,0,0
Mike's Pot,52.38409864,4.837883033,0,0,0,0
Erasmusgracht,52.37579092,4.838369677,0,0,0,0
Timo's Playground,52.3763538,4.838416111,0,0,0,0
Scala,52.37739949,4.839245332,0,0,0,0
Peter's WordFeud Hoekje,52.384046,4.838061,0,0,0,0
Kolenkit ijsbaantje,52.37727258,4.840871723,0,0,0,0
