name,lat,lng,goal
Startvak 21km,52.34449648,4.857574337,Sport & Extreme
Amstelpark tennis,52.33095788,4.852397197,Sport & Extreme
Smashing Pink,52.33094353,4.851802752,Sport & Extreme
block around the clock,52.34011078,4.854157448,Sport & Extreme
Schietsportvereniging,52.383502,4.86374,Sport & Extreme
van der Cammen Residence de super-ultraluxe,52.3513824,4.862982,Sport & Extreme
S.V. Vriendschap,52.41926452,4.87251699,Sport & Extreme
Etnies OTF,52.397517,4.872342,Sport & Extreme
Van Hogendorphal,52.38135406,4.86771028,Sport & Extreme
Ski inn,52.36451558,4.870591164,Sport & Extreme
V.V. OSV,52.42215772,4.881281652,Sport & Extreme
Camping het Rietveen,52.4293472,4.874466,Sport & Extreme
Ghetto Skatepark,52.393055,4.877668,Sport & Extreme
Het Marnix,52.37800196,4.878651211,Sport & Extreme
Zuiderbad,52.3585665,4.88601923,Sport & Extreme
Apollohal,52.34862899,4.884320473,Sport & Extreme
AFC,52.33662398,4.880375862,Sport & Extreme
Amsterdam Pirates,52.33868404,4.873033012,Sport & Extreme
't Kleine Loopveld,52.32205516,4.873230457,Sport & Extreme
Free Friday Night Run,52.33825306,4.865494433,Sport & Extreme
Kinderboerderij Molenwijk,52.42271977,4.885021262,Sport & Extreme
Kermis,52.4021,4.893095,Sport & Extreme
Honkbalvereniging 'De Meteoor',52.41225966,4.894815327,Sport & Extreme
Skatepark,52.40143,4.895369,Sport & Extreme
Amsterdam Skatepark,52.39975808,4.896422762,Sport & Extreme
Het Die,52.41407781,5.022267061,Sport & Extreme
